Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Total Approved Units,Average Grade,Approval Ratio
1.0,1.0,1.0,9670.0,1.0,1.0,139.0,1.0,38.0,19.0,5.0,7.0,130.6,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,0.0,6.0,7.0,5.0,14.2,0.0,13.9,-0.3,0.79,2,11.0,13.266666666666666,0.9166666666666666
1.0,1.0,1.0,9500.0,1.0,1.0,136.0,1.0,19.0,38.0,9.0,9.0,119.3,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,8.0,8.0,7.0,13.214285714285714,0.0,0.0,8.0,8.0,7.0,13.214285714285714,0.0,12.7,3.7,-1.7,2,14.0,13.214285714285714,0.875
1.0,1.0,2.0,9853.0,1.0,1.0,133.0,1.0,19.0,37.0,4.0,9.0,130.2,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,0.0,7.3999999999999995,0.0,0.0,6.0,0.0,0.0,6.874999999999999,0.0,12.7,3.7,-1.7,0,0.0,7.137499999999999,0.0
1.0,53.0,1.0,9254.0,1.0,1.0,110.0,1.0,1.0,1.0,4.0,7.0,111.8,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,7.0,6.0,10.571428571428571,0.0,0.0,6.0,8.0,5.0,11.0,0.0,8.9,1.4,3.51,2,11.0,10.785714285714285,0.9166666666666666
1.0,1.0,1.0,9085.0,1.0,1.0,149.0,1.0,38.0,37.0,5.0,5.0,137.1,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,5.0,7.0,4.0,13.25,0.0,0.0,5.0,5.0,5.0,12.0,0.0,10.8,1.4,1.74,2,9.0,12.625,0.9
1.0,1.0,1.0,9773.0,1.0,1.0,127.0,1.0,19.0,37.0,9.0,3.0,120.7,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,6.0,5.0,13.2,0.0,0.0,6.0,7.0,0.0,6.874999999999999,0.0,15.5,2.8,-4.06,0,5.0,10.0375,0.4166666666666667
1.0,18.0,1.0,9238.0,1.0,1.0,137.0,1.0,19.0,38.0,5.0,8.0,137.4,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,10.0,1.0,12.0,0.0,0.0,6.0,14.0,2.0,11.0,0.0,10.8,1.4,1.74,1,3.0,11.5,0.25
1.0,17.0,2.0,9500.0,1.0,1.0,135.0,1.0,19.0,1.0,5.0,4.0,127.3,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,8.0,7.0,13.30625,0.0,0.0,8.0,8.0,8.0,14.545,0.0,15.5,2.8,-4.06,2,15.0,13.925625,1.0
1.0,1.0,1.0,9130.0,1.0,1.0,137.0,1.0,3.0,19.0,3.0,5.0,136.3,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,5.0,8.0,4.0,12.5,0.0,0.0,5.0,8.0,4.0,12.25,0.0,10.8,1.4,1.74,2,8.0,12.375,0.8
1.0,1.0,1.0,9853.0,1.0,1.0,140.0,1.0,19.0,19.0,7.0,7.0,124.6,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,7.0,6.0,11.666666666666666,0.0,0.0,7.0,8.0,6.0,13.5,0.0,16.2,0.3,-0.92,1,12.0,12.583333333333332,0.8571428571428571
1.0,1.0,3.0,8378.5,1.0,1.0,122.0,1.0,1.0,1.0,9.0,8.0,120.3,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,7.3999999999999995,0.0,0.0,2.0,0.0,0.0,6.874999999999999,0.0,11.1,0.6,2.02,2,0.0,7.137499999999999,0.0
1.0,18.0,3.5,9556.0,1.0,1.0,127.0,1.0,1.0,38.0,4.0,7.0,121.8,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,7.0,14.0,7.0,11.4375,0.0,0.0,8.0,9.0,8.0,11.425,0.0,12.7,3.7,-1.7,1,15.0,11.43125,1.0
1.0,1.0,3.5,9500.0,1.0,1.0,142.0,1.0,19.0,19.0,1.0,1.0,125.5,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,8.0,12.0,7.0,12.857142857142858,0.0,0.0,8.0,12.0,7.0,12.857142857142858,0.0,12.7,3.7,-1.7,2,14.0,12.857142857142858,0.875
1.0,1.0,3.5,9670.0,1.0,1.0,125.0,1.0,1.0,38.0,4.0,7.0,114.9,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,8.0,6.0,13.375,0.0,0.0,6.0,7.0,6.0,12.285714285714286,0.0,11.1,0.6,2.02,2,12.0,12.830357142857142,1.0
1.0,1.0,1.0,9500.0,1.0,1.0,126.0,1.0,19.0,19.0,3.0,7.0,123.9,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,8.0,6.0,13.296666666666669,0.0,0.0,8.0,9.0,7.0,14.114285714285714,0.0,11.1,0.6,2.02,2,13.0,13.70547619047619,0.8666666666666667
1.0,1.0,1.0,9238.0,1.0,1.0,151.0,1.0,19.0,38.0,9.0,9.0,157.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,8.0,5.0,11.6,0.0,0.0,6.0,12.0,4.0,11.0,0.0,7.6,2.6,0.32,1,9.0,11.3,0.75
1.0,17.0,2.0,9238.0,1.0,1.0,115.0,1.0,19.0,38.0,7.0,8.0,116.4,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,9.0,6.0,11.375,0.0,0.0,6.0,9.0,6.0,13.285714285714286,0.0,16.2,0.3,-0.92,2,12.0,12.330357142857142,1.0
1.0,1.0,1.0,9085.0,1.0,1.0,138.0,1.0,19.0,19.0,3.0,3.0,131.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,5.0,9.0,5.0,12.666666666666666,0.0,0.0,5.0,7.0,4.0,13.0,0.0,9.4,-0.8,-3.12,1,9.0,12.833333333333332,0.9
1.0,1.0,1.0,9147.0,1.0,1.0,135.0,1.0,19.0,1.0,9.0,9.0,122.1,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,5.0,6.0,5.0,12.0,0.0,0.0,5.0,6.0,5.0,12.333333333333334,0.0,16.2,0.3,-0.92,2,10.0,12.166666666666668,1.0
1.0,17.0,2.0,9500.0,1.0,1.0,127.0,1.0,3.0,3.0,1.0,10.0,118.8,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,7.0,9.0,6.0,12.933333333333332,0.0,0.0,7.0,7.0,6.0,13.716666666666669,0.0,16.2,0.3,-0.92,1,12.0,13.325,0.8571428571428571
1.0,44.0,1.0,9003.0,1.0,1.0,150.0,1.0,4.0,5.0,4.0,2.0,150.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,6.0,15.0,5.0,11.857142857142858,0.0,0.0,6.0,16.0,5.0,10.571428571428571,0.0,16.2,0.3,-0.92,1,10.0,11.214285714285715,0.8333333333333334
1.0,51.0,1.0,9070.0,1.0,1.0,125.0,1.0,42.0,3.0,16.5,16.5,130.0,1.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,6.0,7.0,6.0,12.833333333333334,0.0,0.0,6.0,9.0,4.0,13.4,0.0,8.9,1.4,3.51,2,10.0,13.116666666666667,0.8333333333333334
1.0,1.0,1.0,9147.0,1.0,1.0,143.0,1.0,1.0,1.0,4.0,6.0,138.8,0.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,9.0,3.0,11.333333333333334,0.0,0.0,5.0,8.0,2.0,13.5,0.0,8.9,1.4,3.51,1,5.0,12.416666666666668,0.5
1.0,18.0,1.0,8378.5,1.0,1.0,138.0,1.0,19.0,1.0,9.0,5.0,134.5,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,12.666666666666666,0.0,0.0,6.0,8.0,6.0,14.375,0.0,12.4,0.5,1.79,2,12.0,13.520833333333332,1.0
1.0,1.0,1.0,9991.0,1.0,1.0,130.0,1.0,2.0,37.0,3.0,9.0,131.4,0.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,0.0,5.0,6.0,5.0,12.4,0.0,0.0,5.0,9.0,5.0,13.428571428571429,0.0,13.9,-0.3,0.79,2,10.0,12.914285714285715,1.0
1.0,39.0,1.0,8378.5,1.0,1.0,130.0,1.0,38.0,37.0,9.0,6.0,102.5,0.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,0.0,7.0,7.0,0.0,7.3999999999999995,0.0,0.0,7.0,7.0,1.0,10.0,0.0,8.9,1.4,3.51,0,1.0,8.7,0.07142857142857142
1.0,39.0,1.0,9119.0,1.0,1.0,133.1,1.0,34.0,37.0,0.0,0.0,128.8,1.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,0.0,5.0,0.0,0.0,7.3999999999999995,0.0,0.0,5.0,0.0,0.0,6.874999999999999,0.0,7.6,2.6,0.32,0,0.0,7.137499999999999,0.0
1.0,43.0,1.0,9147.0,1.0,1.0,140.0,1.0,37.0,37.0,6.0,6.0,122.9,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,5.0,10.0,1.0,10.0,0.0,0.0,5.0,8.0,2.0,12.0,0.0,16.2,0.3,-0.92,0,3.0,11.0,0.3
1.0,39.0,1.0,9991.0,1.0,1.0,120.0,1.0,19.0,19.0,9.0,3.0,113.9,1.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,5.0,8.0,5.0,11.0,0.0,0.0,5.0,5.0,5.0,11.6,0.0,7.6,2.6,0.32,2,10.0,11.3,1.0
1.0,44.0,1.0,9130.0,1.0,1.0,120.0,1.0,4.0,4.0,3.0,6.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,13.0,3.0,11.666666666666666,0.0,0.0,6.0,11.0,3.0,12.0,0.0,12.4,0.5,1.79,0,6.0,11.833333333333332,0.5
1.0,1.0,3.5,9773.0,1.0,1.0,126.0,1.0,3.0,3.0,2.0,2.0,121.1,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,4.0,12.75,0.0,0.0,5.0,5.0,0.0,6.874999999999999,0.0,12.7,3.7,-1.7,0,4.0,9.8125,0.36363636363636365
1.0,1.0,2.0,9147.0,1.0,1.0,133.0,1.0,3.0,19.0,2.0,7.0,120.4,1.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,5.0,5.0,5.0,14.8,0.0,0.0,5.0,5.0,5.0,15.8,0.0,8.9,1.4,3.51,2,10.0,15.3,1.0
1.0,1.0,3.5,9500.0,1.0,1.0,103.0,1.0,1.0,3.0,2.0,2.0,100.6,1.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,7.0,9.0,5.0,13.928,0.0,0.0,8.0,9.0,7.0,14.342857142857142,0.0,11.1,0.6,2.02,2,12.0,14.135428571428571,0.8
1.0,17.0,1.0,9773.0,1.0,1.0,120.0,1.0,1.0,38.0,5.0,5.0,121.4,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,7.0,4.0,13.0,0.0,0.0,6.0,7.0,5.0,13.8,0.0,12.4,0.5,1.79,0,9.0,13.4,0.75
1.0,39.0,1.0,9991.0,1.0,1.0,133.1,1.0,37.0,37.0,9.0,9.0,109.7,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,5.0,0.0,0.0,7.3999999999999995,0.0,0.0,5.0,0.0,0.0,6.874999999999999,0.0,16.2,0.3,-0.92,0,0.0,7.137499999999999,0.0
1.0,17.0,1.0,9991.0,1.0,1.0,154.0,1.0,38.0,38.0,4.0,5.0,134.1,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,5.0,9.0,2.0,11.5,0.0,0.0,5.0,11.0,3.0,14.333333333333334,0.0,7.6,2.6,0.32,1,5.0,12.916666666666668,0.5
1.0,17.0,2.0,9238.0,1.0,1.0,130.0,1.0,19.0,19.0,9.0,9.0,127.6,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,0.0,6.0,8.0,5.0,13.2,0.0,11.1,0.6,2.02,2,11.0,12.433333333333334,0.9166666666666666
1.0,17.0,3.5,9500.0,1.0,1.0,132.0,1.0,37.0,19.0,7.0,7.0,132.4,1.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,7.0,8.0,6.0,13.516666666666666,0.0,0.0,8.0,9.0,7.0,13.771428571428572,0.0,11.1,0.6,2.02,2,13.0,13.644047619047619,0.8666666666666667
1.0,44.0,1.0,8378.5,1.0,1.0,130.0,1.0,1.0,19.0,9.0,9.0,133.4,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,6.0,6.0,11.5,0.0,0.0,6.0,7.0,6.0,13.285714285714286,0.0,12.4,0.5,1.79,2,12.0,12.392857142857142,1.0
1.0,1.0,1.0,9238.0,1.0,1.0,139.0,1.0,37.0,38.0,9.0,9.0,126.1,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,7.0,5.0,12.333333333333334,0.0,0.0,6.0,7.0,6.0,12.833333333333334,0.0,12.7,3.7,-1.7,2,11.0,12.583333333333334,0.9166666666666666
1.0,39.0,1.0,9254.0,1.0,1.0,130.0,1.0,19.0,38.0,9.0,7.0,113.5,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,14.166666666666666,0.0,12.4,0.5,1.79,2,12.0,13.916666666666666,1.0
1.0,1.0,1.0,9500.0,1.0,1.0,139.0,1.0,37.0,38.0,6.0,6.0,121.3,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,8.0,10.0,6.0,11.833333333333334,0.0,0.0,8.0,10.0,6.0,11.833333333333334,0.0,9.4,-0.8,-3.12,1,12.0,11.833333333333334,0.75
1.0,1.0,1.0,9773.0,1.0,1.0,127.0,1.0,1.0,19.0,7.0,7.0,121.8,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,11.0,4.0,14.0,0.0,0.0,6.0,12.0,3.0,11.0,0.0,9.4,-0.8,-3.12,1,7.0,12.5,0.5833333333333334
1.0,1.0,3.0,9130.0,1.0,1.0,162.5,1.0,37.0,37.0,16.5,16.5,159.3,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,7.0,5.0,14.714285714285714,0.0,0.0,5.0,5.0,5.0,15.8,0.0,7.6,2.6,0.32,2,10.0,15.257142857142856,1.0
1.0,39.0,1.0,9991.0,1.0,1.0,130.0,1.0,38.0,38.0,9.0,9.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,5.0,12.0,5.0,10.6,0.0,0.0,5.0,10.0,5.0,11.0,0.0,9.4,-0.8,-3.12,0,10.0,10.8,1.0
1.0,1.0,1.0,9500.0,1.0,1.0,130.0,1.0,1.0,19.0,5.0,5.0,129.1,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,9.0,7.0,13.044444444444444,0.0,0.0,8.0,10.0,8.0,13.595,0.0,15.5,2.8,-4.06,2,15.0,13.319722222222222,1.0
1.0,7.0,1.0,9254.0,1.0,1.0,130.0,1.0,1.0,3.0,4.0,3.0,130.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,6.0,10.0,0.0,7.3999999999999995,0.0,0.0,6.0,6.0,0.0,6.874999999999999,0.0,12.4,0.5,1.79,0,0.0,7.137499999999999,0.0
1.0,39.0,1.0,9130.0,1.0,1.0,129.0,1.0,3.0,3.0,2.0,2.0,155.3,1.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,6.0,9.0,5.0,13.0,0.0,0.0,10.0,13.0,10.0,12.9,0.0,12.4,0.5,1.79,0,15.0,12.95,0.9375
1.0,17.0,1.0,9500.0,1.0,1.0,141.0,1.0,38.0,38.0,7.0,10.0,139.8,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,8.0,8.0,8.0,14.935,0.0,0.0,8.0,8.0,8.0,14.935,0.0,9.4,-0.8,-3.12,2,16.0,14.935,1.0
1.0,1.0,3.0,8378.5,1.0,1.0,125.0,1.0,38.0,37.0,4.0,9.0,115.2,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,7.3999999999999995,0.0,0.0,2.0,0.0,0.0,6.874999999999999,0.0,7.6,2.6,0.32,1,0.0,7.137499999999999,0.0
1.0,1.0,2.0,9500.0,1.0,1.0,125.0,1.0,19.0,19.0,9.0,9.0,114.9,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,8.0,6.0,13.133333333333333,0.0,0.0,8.0,12.0,7.0,12.221428571428572,0.0,16.2,0.3,-0.92,2,13.0,12.677380952380952,0.8666666666666667
1.0,44.0,1.0,9238.0,1.0,1.0,130.0,1.0,19.0,1.0,9.0,9.0,131.9,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,7.0,6.0,12.0,0.0,0.0,6.0,7.0,6.0,12.0,0.0,13.9,-0.3,0.79,2,12.0,12.0,1.0
1.0,17.0,3.0,8378.5,1.0,1.0,133.0,1.0,1.0,37.0,4.0,7.0,126.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,7.3999999999999995,0.0,0.0,2.0,0.0,0.0,6.874999999999999,0.0,10.8,1.4,1.74,1,0.0,7.137499999999999,0.0
1.0,17.0,1.0,9070.0,1.0,1.0,127.0,1.0,1.0,1.0,3.0,4.0,130.2,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,6.0,5.0,11.4,0.0,0.0,6.0,8.0,1.0,10.0,0.0,10.8,1.4,1.74,1,6.0,10.7,0.5
1.0,43.0,1.0,9070.0,1.0,1.0,116.0,1.0,1.0,1.0,3.0,3.0,120.9,0.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,6.0,6.0,0.0,7.3999999999999995,0.0,0.0,6.0,6.0,0.0,6.874999999999999,0.0,12.7,3.7,-1.7,1,0.0,7.137499999999999,0.0
1.0,42.0,1.0,9500.0,1.0,1.0,133.1,1.0,1.0,1.0,5.0,5.0,126.0,1.0,0.0,0.0,1.0,1.0,0.0,29.0,0.0,0.0,7.0,10.0,5.0,11.9,0.0,0.0,8.0,10.0,5.0,11.0,0.0,13.9,-0.3,0.79,0,10.0,11.45,0.6666666666666666
1.0,1.0,3.0,8378.5,1.0,1.0,139.0,1.0,19.0,19.0,5.0,3.0,128.2,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,7.3999999999999995,0.0,0.0,2.0,0.0,0.0,6.874999999999999,0.0,10.8,1.4,1.74,2,0.0,7.137499999999999,0.0
1.0,44.0,1.0,9003.0,1.0,1.0,130.0,1.0,19.0,37.0,9.0,9.0,130.0,1.0,0.0,0.0,1.0,1.0,0.0,23.0,0.0,0.0,6.0,8.0,6.0,12.571428571428571,0.0,0.0,6.0,7.0,6.0,12.428571428571429,0.0,8.9,1.4,3.51,2,12.0,12.5,1.0
1.0,1.0,3.0,9147.0,1.0,1.0,125.0,1.0,1.0,38.0,7.0,7.0,120.1,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,5.0,8.0,5.0,11.2,0.0,0.0,5.0,10.0,4.0,10.75,0.0,16.2,0.3,-0.92,0,9.0,10.975,0.9
1.0,39.0,1.0,9254.0,1.0,1.0,160.0,1.0,19.0,37.0,7.0,10.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0,0.0,6.0,7.0,6.0,12.0,0.0,0.0,6.0,8.0,5.0,10.8,0.0,12.7,3.7,-1.7,1,11.0,11.4,0.9166666666666666
1.0,17.0,1.0,9147.0,1.0,1.0,148.0,1.0,38.0,37.0,5.0,5.0,134.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,9.0,0.0,7.3999999999999995,0.0,0.0,5.0,5.0,0.0,6.874999999999999,0.0,7.6,2.6,0.32,1,0.0,7.137499999999999,0.0
1.0,17.0,1.0,9500.0,1.0,1.0,150.0,1.0,37.0,19.0,8.0,4.0,130.8,0.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,7.0,8.0,7.0,11.975,0.0,0.0,8.0,8.0,8.0,13.75,0.0,13.9,-0.3,0.79,2,15.0,12.8625,1.0
1.0,1.0,1.0,8378.5,1.0,1.0,141.0,1.0,19.0,19.0,5.0,10.0,135.8,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,7.3999999999999995,0.0,0.0,2.0,0.0,0.0,6.874999999999999,0.0,15.5,2.8,-4.06,0,0.0,7.137499999999999,0.0
1.0,17.0,3.5,9254.0,1.0,1.0,118.0,1.0,38.0,37.0,5.0,7.0,111.7,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,6.0,12.0,3.0,11.666666666666666,0.0,0.0,6.0,12.0,1.0,12.0,0.0,12.4,0.5,1.79,0,4.0,11.833333333333332,0.3333333333333333
1.0,1.0,2.0,9773.0,1.0,1.0,142.0,1.0,38.0,38.0,9.0,9.0,132.9,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,6.0,8.0,6.0,12.333333333333334,0.0,0.0,6.0,11.0,3.0,12.333333333333334,0.0,10.8,1.4,1.74,2,9.0,12.333333333333334,0.75
1.0,17.0,3.0,9147.0,1.0,1.0,120.0,1.0,19.0,19.0,4.0,7.0,115.5,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,8.0,3.0,10.333333333333334,0.0,0.0,5.0,11.0,3.0,10.857142857142858,0.0,10.8,1.4,1.74,0,6.0,10.595238095238095,0.6
1.0,18.0,3.5,9254.0,1.0,1.0,106.0,1.0,19.0,37.0,7.0,7.0,106.0,1.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,6.0,8.0,4.0,10.5,0.0,0.0,6.0,11.0,1.0,11.0,0.0,9.4,-0.8,-3.12,0,5.0,10.75,0.4166666666666667
1.0,17.0,3.5,9773.0,1.0,1.0,121.0,1.0,1.0,19.0,9.0,8.0,120.3,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,13.333333333333334,0.0,8.9,1.4,3.51,2,12.0,13.5,1.0
